COLLEGE BASKETBALL TRUE HOME COURT ADVANTAGE (since start of 2021-22 season),,,,,,,,,,,,,,
,,ALL GAMES,,,,,,,,,CONFERENCE GAMES,,,
,,SU,ATS,Avg,Avg,Exp,Avg,,Actual,True,SU,ATS,True,Conf
Team,Conference,W-L (%),W-L (%),TmPR,OppPR,PPG+/-,Line,PF-PA,PPG+/-,HFEdge,W-L (%),W-L (%),HFEdge,+/-
BRADLEY,Missouri Valley,32-5 (86%),27-8 (77%),75.1,69.3,5.8,-8.4,76.2-60.4,15.8,10,20-3 (87%),17-5 (77%),10.9,0.9
ALABAMA,SEC,36-4 (90%),21-19 (53%),87.4,77.4,10,-13,86.4-68.4,18,8,17-3 (85%),9-11 (45%),7.7,-0.3
TOWSON ST,Colonial Athletic,28-5 (85%),18-14 (56%),72.4,66.7,5.7,-8,75.1-61.8,13.3,7.6,18-3 (86%),12-8 (60%),10.1,2.5
HOUSTON,Big 12,43-3 (93%),28-17 (62%),90.1,71.7,18.4,-21.4,77.9-52,25.9,7.5,19-2 (90%),11-9 (55%),4.4,-3.1
NORFOLK ST,Mid-Eastern,16-2 (89%),11-6 (65%),68,60.8,7.2,-9.6,78.4-63.7,14.7,7.5,12-2 (86%),8-5 (62%),6,-1.5
TENNESSEE,SEC,40-2 (95%),26-15 (63%),88.8,74.9,13.9,-17.1,78.8-57.6,21.2,7.3,19-2 (90%),12-9 (57%),6.8,-0.5
ST MARYS-CA,West Coast,37-5 (88%),25-15 (63%),83.4,73.9,9.5,-11.8,74.6-57.8,16.8,7.3,16-0 (100%),10-5 (67%),8.7,1.4
WAKE FOREST,ACC,42-5 (89%),31-15 (67%),79.2,72.7,6.5,-9.8,82-68.3,13.7,7.2,19-5 (79%),15-8 (65%),7.9,0.7
FLA ATLANTIC,American Athletic,33-6 (85%),24-13 (65%),77.2,70.1,7.1,-9.3,80.4-66.2,14.2,7.1,20-2 (91%),11-9 (55%),6,-1.1
UTAH VALLEY ST,WAC,25-4 (86%),20-9 (69%),73.3,70.3,3,-5,75.7-65.6,10.1,7.1,19-3 (86%),16-6 (73%),7.5,0.4
ARIZONA,Pac 12,42-2 (95%),25-18 (58%),89.6,73.8,15.8,-19.1,87.9-65.2,22.7,6.9,22-2 (92%),10-14 (42%),2.1,-4.8
IOWA ST,Big 12,38-8 (83%),28-18 (61%),82.7,72.4,10.3,-13.2,73.7-56.5,17.2,6.9,12-8 (60%),10-10 (50%),4.4,-2.5
INDIANA ST,Missouri Valley,22-10 (69%),21-9 (70%),74.2,69.5,4.7,-7.5,77.6-66.3,11.3,6.6,14-9 (61%),13-8 (62%),5.6,-1
N FLORIDA,Atlantic Sun,19-10 (66%),18-10 (64%),64.2,65.6,-1.4,-0.9,76.3-71.2,5.1,6.5,13-8 (62%),14-6 (70%),6.5,0
SOUTHERN U,SWAC,17-4 (81%),16-5 (76%),66.8,60.4,6.4,-8.1,75.3-62.8,12.5,6.1,15-4 (79%),14-5 (74%),5.3,-0.8
TROY,Sun Belt,22-7 (76%),19-9 (68%),70.2,68.4,1.8,-4.1,74.9-67,7.9,6.1,16-4 (80%),14-6 (70%),6.5,0.4
VERMONT,America East,33-2 (94%),22-13 (63%),75.4,65.7,9.7,-12.7,77.6-61.9,15.7,6,26-0 (100%),18-8 (69%),7.4,1.4
SAMFORD,Southern,31-4 (89%),19-15 (56%),71.8,67.4,4.4,-6.6,83.3-72.9,10.4,6,20-2 (91%),13-9 (59%),6.5,0.5
UTAH,Pac 12,31-14 (69%),25-19 (57%),80.1,74.2,5.9,-8.8,76.3-64.5,11.8,5.9,13-12 (52%),11-13 (46%),4.3,-1.6
S ILLINOIS,Missouri Valley,30-9 (77%),25-14 (64%),73.4,68.9,4.5,-7.2,69.9-59.6,10.3,5.8,15-8 (65%),15-8 (65%),4.7,-1.1
MIDDLE TENN ST,Conference USA,26-8 (76%),23-10 (70%),71.6,69.6,2,-4.5,69.9-62.1,7.8,5.8,18-4 (82%),15-6 (71%),7.1,1.3
DRAKE,Missouri Valley,34-4 (89%),18-20 (47%),77.8,69.1,8.7,-12.3,77.8-63.4,14.4,5.7,19-4 (83%),12-11 (52%),6.3,0.6
HOWARD,Mid-Eastern,18-9 (67%),15-12 (56%),65.5,64.2,1.3,-3.6,77-70,7,5.7,13-3 (81%),9-7 (56%),5.7,0
IOWA,Big Ten,38-8 (83%),29-17 (63%),84.5,73.3,11.2,-14.3,89.6-72.8,16.8,5.6,17-7 (71%),14-10 (58%),4.5,-1.1
UCF,Big 12,32-12 (73%),24-20 (55%),78.3,72.3,6,-8.2,74.5-62.9,11.6,5.6,13-7 (65%),12-8 (60%),4.7,-0.9
S ALABAMA,Sun Belt,23-11 (68%),20-14 (59%),70.9,68.4,2.5,-5,74.1-66.1,8,5.5,13-8 (62%),12-9 (57%),6.7,1.2
CORNELL,Ivy League,21-4 (84%),16-9 (64%),71.1,67.5,3.6,-5.5,82-73,9,5.4,12-4 (75%),9-7 (56%),4,-1.4
NEW MEXICO,Mountain West,32-12 (73%),28-13 (68%),76.1,72.6,3.5,-6.5,80.6-71.7,8.9,5.4,12-8 (60%),12-7 (63%),4.4,-1
N KENTUCKY,Horizon,28-8 (78%),21-15 (58%),69,66.7,2.3,-5.2,73.2-65.5,7.7,5.4,21-4 (84%),17-8 (68%),7.3,1.9
UTAH TECH,WAC,15-14 (53%),17-12 (59%),65.3,69.6,-4.3,1.4,72.8-71.7,1.1,5.4,10-11 (48%),12-9 (57%),5.9,0.5
BAYLOR,Big 12,38-5 (88%),26-17 (60%),88.8,73.8,15,-17.9,83-62.7,20.3,5.3,15-5 (75%),10-10 (50%),2.6,-2.7
N TEXAS,American Athletic,29-5 (85%),20-14 (59%),77.6,70.2,7.4,-10.1,68.3-55.6,12.7,5.3,18-3 (86%),13-8 (62%),4.5,-0.8
TENNESSEE ST,Ohio Valley,20-11 (65%),19-12 (61%),63.3,63.4,-0.1,-2.9,77.4-72.2,5.2,5.3,14-8 (64%),15-7 (68%),5.7,0.4
TEXAS TECH,Big 12,40-6 (87%),26-20 (57%),84.2,73.9,10.3,-13.6,78.5-63,15.5,5.2,15-6 (71%),13-8 (62%),5.1,-0.1
CLEMSON,ACC,33-9 (79%),24-17 (59%),80,74.3,5.7,-8.4,77.9-67,10.9,5.2,15-8 (65%),13-9 (59%),5.4,0.2
ST THOMAS-MN,Summit,17-11 (61%),16-12 (57%),65.8,65.3,0.5,-2.7,75.7-70,5.7,5.2,10-10 (50%),11-9 (55%),4,-1.2
DENVER,Summit,16-12 (57%),14-14 (50%),63.1,65.1,-2,-0.3,76.7-73.5,3.2,5.2,9-11 (45%),8-12 (40%),4,-1.2
IONA,Metro Atlantic,30-4 (88%),18-16 (53%),75.4,67.4,8,-10.3,77.2-64.1,13.1,5.1,21-2 (91%),13-10 (57%),4.5,-0.6
DREXEL,Colonial Athletic,25-8 (76%),20-11 (65%),70.7,66.8,3.9,-5.7,72.6-63.6,9,5.1,17-5 (77%),13-7 (65%),5.4,0.3
NC CENTRAL,Mid-Eastern,16-4 (80%),12-7 (63%),65.3,63.6,1.7,-4.5,72.9-66.1,6.8,5.1,12-3 (80%),9-6 (60%),4,-1.1
MONTANA,Big Sky,24-9 (73%),18-15 (55%),69.6,66.2,3.4,-6.6,73.7-65.3,8.4,5,13-7 (65%),8-12 (40%),3.1,-1.9
CHARLOTTE,American Athletic,29-9 (76%),25-13 (66%),71.9,69.4,2.5,-4.8,71-63.5,7.5,5,15-7 (68%),14-8 (64%),4.3,-0.7
JACKSONVILLE,Atlantic Sun,19-7 (73%),16-9 (64%),67.3,65.8,1.5,-3.3,67.8-61.3,6.5,5,13-7 (65%),11-8 (58%),3.1,-1.9
ALABAMA A&M,SWAC,14-15 (48%),15-14 (52%),58.5,62.9,-4.4,1.7,71.2-70.6,0.6,5,11-8 (58%),9-10 (47%),5.3,0.3
S DAKOTA ST,Summit,24-4 (86%),14-14 (50%),74.3,66.4,7.9,-10.6,82.4-69.6,12.8,4.9,19-1 (95%),11-9 (55%),6.1,1.2
ORAL ROBERTS,Summit,22-7 (76%),14-14 (50%),74.2,67.2,7,-9.7,83.9-72,11.9,4.9,15-5 (75%),8-11 (42%),4.2,-0.7
WASHINGTON ST,Pac 12,32-12 (73%),20-22 (48%),79.7,73.9,5.8,-8.7,73.5-62.8,10.7,4.9,15-8 (65%),10-12 (45%),4.9,0
WYOMING,Mountain West,24-10 (71%),15-17 (47%),73.4,71.9,1.5,-5.7,75.9-69.5,6.4,4.9,14-7 (67%),9-11 (45%),4,-0.9
KENNESAW ST,Atlantic Sun,22-7 (76%),16-13 (55%),68.2,66.8,1.4,-3.7,77.1-70.8,6.3,4.9,18-5 (78%),11-12 (48%),4.2,-0.7
PENNSYLVANIA,Ivy League,22-10 (69%),20-11 (65%),70.4,69.6,0.8,-2.8,76.6-70.9,5.7,4.9,12-4 (75%),10-5 (67%),3.5,-1.4
YALE,Ivy League,19-5 (79%),11-12 (48%),74.3,67.8,6.5,-8.3,77.9-66.6,11.3,4.8,13-2 (87%),7-7 (50%),3.9,-0.9
OREGON,Pac 12,36-11 (77%),23-23 (50%),81.5,75.8,5.7,-8.7,74.9-64.4,10.5,4.8,17-6 (74%),10-13 (43%),4,-0.8
SAM HOUSTON ST,Conference USA,20-5 (80%),15-9 (63%),72.1,69.9,2.2,-5.1,69.2-62.2,7,4.8,18-2 (90%),14-5 (74%),7.4,2.6
CS-FULLERTON,Big West,20-7 (74%),16-11 (59%),69.3,68.9,0.4,-2.7,69.9-64.7,5.2,4.8,13-6 (68%),10-9 (53%),3.9,-0.9
MISS VALLEY ST,SWAC,4-20 (17%),15-8 (65%),51.2,61.8,-10.6,7.8,67.5-73.3,-5.8,4.8,3-17 (15%),12-7 (63%),3.6,-1.2
AUBURN,SEC,40-2 (95%),25-16 (61%),86.9,76,10.9,-13.4,80.1-64.5,15.6,4.7,19-2 (90%),13-7 (65%),5.6,0.9
TCU,Big 12,35-9 (80%),24-18 (57%),82.1,73.5,8.6,-12,76.5-63.2,13.3,4.7,13-8 (62%),11-9 (55%),5.1,0.4
BELMONT,Missouri Valley,29-4 (88%),16-16 (50%),75.7,69.3,6.4,-9.6,79.2-68.1,11.1,4.7,20-3 (87%),12-11 (52%),3.8,-0.9
TULANE,American Athletic,29-9 (76%),20-18 (53%),75.2,70.8,4.4,-7.4,83.3-74.2,9.1,4.7,16-5 (76%),15-6 (71%),7.3,2.6
BRYANT,America East,24-6 (80%),17-12 (59%),69.1,64.8,4.3,-7.5,77.2-68.2,9,4.7,18-3 (86%),11-9 (55%),4.7,0
MASSACHUSETTS,Atlantic 10,27-12 (69%),23-15 (61%),71.9,70.4,1.5,-4.2,78.3-72.1,6.2,4.7,12-9 (57%),10-10 (50%),2.8,-1.9
OLD DOMINION,Sun Belt,23-12 (66%),18-17 (51%),70.1,70.3,-0.2,-3.1,70-65.5,4.5,4.7,13-8 (62%),13-8 (62%),5.8,1.1
VIRGINIA TECH,ACC,32-9 (78%),25-16 (61%),81.8,72.3,9.5,-12.6,76.1-62,14.1,4.6,14-9 (61%),12-11 (52%),2.8,-1.8
CINCINNATI,Big 12,37-11 (77%),27-21 (56%),80,71.7,8.3,-10.9,78.4-65.5,12.9,4.6,12-9 (57%),10-11 (48%),2.5,-2.1
RUTGERS,Big Ten,37-10 (79%),28-19 (60%),80.8,73.7,7.1,-10.1,70.4-58.7,11.7,4.6,16-7 (70%),15-8 (65%),5.2,0.6
GEORGE MASON,Atlantic 10,33-7 (83%),24-16 (60%),74.4,69.6,4.8,-7,74.5-65.1,9.4,4.6,14-6 (70%),10-10 (50%),1.7,-2.9
SOUTHERN UTAH,WAC,23-8 (74%),17-14 (55%),70.9,68.5,2.4,-5.5,80.2-73.2,7,4.6,16-7 (70%),12-11 (52%),4.2,-0.4
DETROIT,Horizon,16-13 (55%),16-13 (55%),65.7,66.6,-0.9,-2.2,74.6-70.9,3.7,4.6,12-11 (52%),12-11 (52%),3.2,-1.4
LONG ISLAND,Northeast,12-13 (48%),11-14 (44%),58.8,63.4,-4.6,2,74.2-74.2,0,4.6,10-10 (50%),8-12 (40%),2.7,-1.9
CHICAGO ST,Independent,12-14 (46%),12-13 (48%),57.4,64.9,-7.5,4.9,67.6-70.5,-2.9,4.6,3-7 (30%),3-7 (30%),2.5,-2.1
KANSAS ST,Big 12,34-9 (79%),23-19 (55%),80.7,75.1,5.6,-8.1,73.2-63.1,10.1,4.5,14-7 (67%),14-7 (67%),6,1.5
COLL OF CHARLESTON,Colonial Athletic,32-8 (80%),19-19 (50%),73.9,69,4.9,-8.2,81-71.6,9.4,4.5,14-7 (67%),7-12 (37%),3.7,-0.8
UAB,American Athletic,37-7 (84%),24-18 (57%),79.1,69.7,9.4,-12.7,81.4-67.6,13.8,4.4,19-3 (86%),11-9 (55%),4.9,0.5
CREIGHTON,Big East,32-7 (82%),16-21 (43%),83.8,74.7,9.1,-12.9,76.8-63.3,13.5,4.4,18-4 (82%),9-11 (45%),7.1,2.7
LONGWOOD,Big South,29-5 (85%),21-13 (62%),70.5,63.5,7,-9.1,76.2-64.8,11.4,4.4,17-3 (85%),11-9 (55%),2,-2.4
SMU,American Athletic,32-12 (73%),19-23 (45%),76,71.2,4.8,-8.1,75.3-66.1,9.2,4.4,15-5 (75%),11-8 (58%),5.7,1.3
GA SOUTHERN,Sun Belt,16-12 (57%),14-13 (52%),65.9,68.8,-2.9,-0.2,69-67.5,1.5,4.4,13-7 (65%),11-8 (58%),4.5,0.1
PROVIDENCE,Big East,41-5 (89%),26-20 (57%),80.9,74,6.9,-9.6,78.7-67.5,11.2,4.3,18-5 (78%),12-11 (52%),3.8,-0.5
BOISE ST,Mountain West,32-5 (86%),17-18 (49%),80,73.4,6.6,-9.3,72.3-61.4,10.9,4.3,19-2 (90%),8-12 (40%),3.4,-0.9
PRINCETON,Ivy League,25-4 (86%),15-14 (52%),73.9,68.1,5.8,-8.1,79.9-69.8,10.1,4.3,15-2 (88%),9-8 (53%),4.9,0.6
ST JOSEPHS,Atlantic 10,28-15 (65%),26-17 (60%),71.5,69.1,2.4,-4.9,74-67.3,6.7,4.3,11-10 (52%),11-10 (52%),2.8,-1.5
ARIZONA ST,Pac 12,27-12 (69%),18-18 (50%),77.4,76.1,1.3,-4.6,70.2-64.6,5.6,4.3,14-10 (58%),11-11 (50%),5.2,0.9
NORTHWESTERN ST,Southland,15-12 (56%),15-11 (58%),61.6,63.8,-2.2,-0.2,74.4-72.3,2.1,4.3,12-7 (63%),10-8 (56%),4.5,0.2
W CAROLINA,Southern,17-11 (61%),14-14 (50%),65.8,69.5,-3.7,1.4,72.9-72.3,0.6,4.3,12-8 (60%),10-10 (50%),5,0.7
KENTUCKY,SEC,42-5 (89%),24-23 (51%),87.3,73.1,14.2,-17.1,84.7-66.3,18.4,4.2,18-3 (86%),11-10 (52%),3.3,-0.9
BYU,Big 12,33-8 (80%),25-16 (61%),82,72.7,9.3,-11.9,78.3-64.8,13.5,4.2,12-6 (67%),10-8 (56%),2.4,-1.8
ST BONAVENTURE,Atlantic 10,30-8 (79%),23-15 (61%),76,69.9,6.1,-8.5,76.4-66.1,10.3,4.2,15-5 (75%),14-6 (70%),7,2.8
UNC-ASHEVILLE,Big South,22-7 (76%),16-12 (57%),68.2,65.7,2.5,-4.4,74.3-67.6,6.7,4.2,15-5 (75%),10-10 (50%),3.8,-0.4
UNC-WILMINGTON,Colonial Athletic,22-5 (81%),16-10 (62%),69.9,67.9,2,-4.5,71.9-65.7,6.2,4.2,17-4 (81%),12-8 (60%),2.6,-1.6
MD-BALT COUNTY,America East,26-13 (67%),20-19 (51%),65.5,64.8,0.7,-3.2,77.4-72.5,4.9,4.2,15-8 (65%),10-13 (43%),2.3,-1.9
PURDUE,Big Ten,39-3 (93%),17-24 (41%),89.8,75.2,14.6,-18,82.6-63.9,18.7,4.1,20-3 (87%),9-14 (39%),2.3,-1.8
COLGATE,Patriot,31-5 (86%),21-15 (58%),73.5,64.8,8.7,-11.9,77.4-64.6,12.8,4.1,26-1 (96%),17-10 (63%),5.2,1.1
MICHIGAN ST,Big Ten,34-7 (83%),24-17 (59%),84.6,76.2,8.4,-11.1,75.2-62.7,12.5,4.1,17-6 (74%),13-10 (57%),4.1,0
GRAND CANYON,WAC,34-6 (85%),21-19 (53%),76.3,68.2,8.1,-10.3,76.3-64.1,12.2,4.1,18-4 (82%),11-11 (50%),3.9,-0.2
PENN ST,Big Ten,32-11 (74%),24-18 (57%),78.7,74.2,4.5,-7.4,74.1-65.5,8.6,4.1,15-9 (63%),16-8 (67%),5.3,1.2
BALL ST,Mid-American,23-10 (70%),20-13 (61%),68,67.1,0.9,-3.9,76.8-71.8,5,4.1,12-10 (55%),12-10 (55%),1.5,-2.6
HOUSTON CHRISTIAN,Southland,9-17 (35%),14-12 (65%),55.8,63.2,-7.4,4.4,82.8-86.1,-3.3,4.1,9-9 (50%),11-7 (61%),5.7,1.6
CONNECTICUT,Big East,39-4 (91%),23-19 (55%),87.7,71.5,16.2,-19.7,82.3-62.1,20.2,4,20-4 (83%),11-12 (48%),2.2,-1.8
ILLINOIS,Big Ten,38-7 (84%),21-21 (50%),85.8,74.5,11.3,-14.4,78.9-63.6,15.3,4,19-5 (79%),10-13 (43%),2.3,-1.7
SAN DIEGO ST,Mountain West,35-3 (92%),20-17 (54%),83,73.8,9.2,-12.3,71.6-58.4,13.2,4,19-2 (90%),14-7 (67%),6.4,2.4
COLORADO,Pac 12,37-11 (77%),21-23 (48%),80.3,74.4,5.9,-9.2,75.4-65.5,9.9,4,17-8 (68%),11-11 (50%),5,1
SEATTLE,WAC,33-6 (85%),22-16 (58%),71.9,66.9,5,-7.8,73.7-64.7,9,4,18-3 (86%),11-9 (55%),4.2,0.2
E WASHINGTON,Big Sky,20-4 (83%),14-10 (58%),70.2,66.5,3.7,-5,81-73.3,7.7,4,17-4 (81%),12-9 (57%),3.9,-0.1
E KENTUCKY,Atlantic Sun,23-10 (70%),19-14 (58%),68.5,67.4,1.1,-4.5,75.8-70.7,5.1,4,17-4 (81%),14-7 (67%),5.6,1.6
GEORGE WASHINGTON,Atlantic 10,28-12 (70%),22-18 (55%),68.5,68.5,0,-3.5,76.8-72.8,4,4,12-8 (60%),12-8 (60%),3.6,-0.4
IDAHO,Big Sky,13-22 (37%),18-15 (55%),60,67.2,-7.2,4.2,72.5-75.7,-3.2,4,8-14 (36%),10-11 (48%),0.9,-3.1
UC-IRVINE,Big West,22-5 (81%),13-14 (48%),75.1,69.3,5.8,-8.7,74.1-64.4,9.7,3.9,17-3 (85%),8-12 (40%),2.1,-1.8
FRESNO ST,Mountain West,24-14 (63%),19-19 (50%),73.8,71.1,2.7,-5.6,67.7-61.1,6.6,3.9,9-10 (47%),9-10 (47%),2.6,-1.3
BETHUNE-COOKMAN,SWAC,13-13 (50%),17-9 (65%),57.9,61.8,-3.9,1.3,71.7-71.7,0,3.9,9-11 (45%),11-9 (55%),2.4,-1.5
UCLA,Pac 12,36-5 (88%),22-18 (55%),86.5,73.9,12.6,-15.4,76.8-60.4,16.4,3.8,20-3 (87%),13-9 (59%),4.8,1
DAYTON,Atlantic 10,36-6 (86%),21-20 (51%),79.1,69.5,9.6,-12.4,73.2-59.8,13.4,3.8,18-3 (86%),12-9 (57%),5.2,1.4
OKLAHOMA,Big 12,33-13 (72%),23-22 (51%),82.4,74.7,7.7,-10.8,73.8-62.3,11.5,3.8,10-10 (50%),10-9 (53%),3,-0.8
MURRAY ST,Missouri Valley,26-7 (79%),18-14 (56%),73.6,68.8,4.8,-7.5,75.9-67.3,8.6,3.8,19-4 (83%),15-7 (68%),5.5,1.7
YOUNGSTOWN ST,Horizon,29-11 (73%),20-19 (51%),69.3,65.3,4,-6.5,78.3-70.5,7.8,3.8,21-7 (75%),16-12 (57%),4.4,0.6
W VIRGINIA,Big 12,32-14 (70%),23-23 (50%),79.4,77.2,2.2,-6.5,73.3-67.3,6,3.8,11-10 (52%),11-10 (52%),5,1.2
W ILLINOIS,Ohio Valley,18-12 (60%),15-15 (50%),65.7,65.3,0.4,-3.3,76.9-72.7,4.2,3.8,11-10 (52%),9-12 (43%),2.2,-1.6
NEW HAMPSHIRE,America East,21-10 (68%),15-16 (48%),65.4,65.1,0.3,-2.5,70.4-66.3,4.1,3.8,13-8 (62%),9-12 (43%),1.7,-2.1
S CAROLINA ST,Mid-Eastern,11-14 (44%),11-11 (50%),57.6,63.5,-5.9,2.6,75.8-77.9,-2.1,3.8,7-10 (41%),7-8 (47%),3.4,-0.4
GONZAGA,West Coast,38-2 (95%),22-16 (58%),90.6,71.5,19.1,-22.8,90-67.2,22.8,3.7,17-1 (94%),12-4 (75%),5.9,2.2
LIBERTY,Conference USA,32-6 (84%),23-15 (61%),76.8,65.6,11.2,-13.5,74.9-60,14.9,3.7,20-4 (83%),12-12 (50%),3,-0.7
